年份,十年代,尺度,區域,半球,緯度,距平C
1880,1880,全球,全球,全球,999,-0.18
1880,1880,半球,北半球,北,999,-0.30
1880,1880,半球,南半球,南,999,-0.05
1880,1880,寬帶,北緯24-90,北,999,-0.39
1880,1880,寬帶,南北緯24以內,赤道,999,-0.14
1880,1880,寬帶,南緯24-90,南,999,-0.02
1880,1880,緯度帶,北極區64-90N,北,77,-0.79
1880,1880,緯度帶,北高緯44-64N,北,54,-0.50
1880,1880,緯度帶,北中緯24-44N,北,34,-0.31
1880,1880,緯度帶,赤道-24N,北,12,-0.17
1880,1880,緯度帶,24S-赤道,南,-12,-0.12
1880,1880,緯度帶,南中緯24-44S,南,-34,-0.05
1880,1880,緯度帶,南高緯44-64S,南,-54,0.05
1880,1880,緯度帶,南極區64-90S,南,-77,0.70
1881,1880,全球,全球,全球,999,-0.09
1881,1880,半球,北半球,北,999,-0.19
1881,1880,半球,南半球,南,999,-0.01
1881,1880,寬帶,北緯24-90,北,999,-0.35
1881,1880,寬帶,南北緯24以內,赤道,999,0.09
1881,1880,寬帶,南緯24-90,南,999,-0.07
1881,1880,緯度帶,北極區64-90N,北,77,-0.84
1881,1880,緯度帶,北高緯44-64N,北,54,-0.46
1881,1880,緯度帶,北中緯24-44N,北,34,-0.22
1881,1880,緯度帶,赤道-24N,北,12,0.09
1881,1880,緯度帶,24S-赤道,南,-12,0.09
1881,1880,緯度帶,南中緯24-44S,南,-34,-0.06
1881,1880,緯度帶,南高緯44-64S,南,-54,-0.07
1881,1880,緯度帶,南極區64-90S,南,-77,0.62
1882,1880,全球,全球,全球,999,-0.11
1882,1880,半球,北半球,北,999,-0.22
1882,1880,半球,南半球,南,999,-0.02
1882,1880,寬帶,北緯24-90,北,999,-0.31
1882,1880,寬帶,南北緯24以內,赤道,999,-0.06
1882,1880,寬帶,南緯24-90,南,999,0.01
1882,1880,緯度帶,北極區64-90N,北,77,-1.34
1882,1880,緯度帶,北高緯44-64N,北,54,-0.27
1882,1880,緯度帶,北中緯24-44N,北,34,-0.16
1882,1880,緯度帶,赤道-24N,北,12,-0.07
1882,1880,緯度帶,24S-赤道,南,-12,-0.06
1882,1880,緯度帶,南中緯24-44S,南,-34,0.01
1882,1880,緯度帶,南高緯44-64S,南,-54,0.04
1882,1880,緯度帶,南極區64-90S,南,-77,0.65
1883,1880,全球,全球,全球,999,-0.18
1883,1880,半球,北半球,北,999,-0.29
1883,1880,半球,南半球,南,999,-0.07
1883,1880,寬帶,北緯24-90,北,999,-0.34
1883,1880,寬帶,南北緯24以內,赤道,999,-0.18
1883,1880,寬帶,南緯24-90,南,999,-0.01
1883,1880,緯度帶,北極區64-90N,北,77,-0.12
1883,1880,緯度帶,北高緯44-64N,北,54,-0.55
1883,1880,緯度帶,北中緯24-44N,北,34,-0.28
1883,1880,緯度帶,赤道-24N,北,12,-0.19
1883,1880,緯度帶,24S-赤道,南,-12,-0.16
1883,1880,緯度帶,南中緯24-44S,南,-34,-0.04
1883,1880,緯度帶,南高緯44-64S,南,-54,0.07
1883,1880,緯度帶,南極區64-90S,南,-77,0.52
1884,1880,全球,全球,全球,999,-0.28
1884,1880,半球,北半球,北,999,-0.43
1884,1880,半球,南半球,南,999,-0.15
1884,1880,寬帶,北緯24-90,北,999,-0.60
1884,1880,寬帶,南北緯24以內,赤道,999,-0.16
1884,1880,寬帶,南緯24-90,南,999,-0.14
1884,1880,緯度帶,北極區64-90N,北,77,-1.25
1884,1880,緯度帶,北高緯44-64N,北,54,-0.64
